"subjects" "activities" "mean"
1 "LAYING" -0.521033388800365
1 "SITTING" -0.546547834190087
1 "STANDING" -0.560888899640907
1 "WALKING" -0.153722070528324
1 "WALKING_DOWNSTAIRS" -0.116846340832627
1 "WALKING_UPSTAIRS" -0.285970876698561
2 "LAYING" -0.550182863953901
2 "SITTING" -0.56031344238308
2 "STANDING" -0.560933299142959
2 "WALKING" -0.246868489720627
2 "WALKING_DOWNSTAIRS" -0.0882110912337927
2 "WALKING_UPSTAIRS" -0.224356790163652
3 "LAYING" -0.554844445297353
3 "SITTING" -0.548882200456398
3 "STANDING" -0.569402828108679
3 "WALKING" -0.25509575080743
3 "WALKING_DOWNSTAIRS" -0.196285803641219
3 "WALKING_UPSTAIRS" -0.308278803713542
4 "LAYING" -0.556225460503712
4 "SITTING" -0.562068453493841
4 "STANDING" -0.558257364966512
4 "WALKING" -0.314928743110884
4 "WALKING_DOWNSTAIRS" -0.224648329354634
4 "WALKING_UPSTAIRS" -0.301972557606331
5 "LAYING" -0.551680909926322
5 "SITTING" -0.557727231606135
5 "STANDING" -0.552636166318237
5 "WALKING" -0.243979863905535
5 "WALKING_DOWNSTAIRS" -0.135266968708224
5 "WALKING_UPSTAIRS" -0.219856620865299
6 "LAYING" -0.538565829095587
6 "SITTING" -0.552253932666457
6 "STANDING" -0.563288791390388
6 "WALKING" -0.183083132419648
6 "WALKING_DOWNSTAIRS" -0.00774754007260368
6 "WALKING_UPSTAIRS" -0.174224811337182
7 "LAYING" -0.570168341813235
7 "SITTING" -0.562681411082595
7 "STANDING" -0.576213650937707
7 "WALKING" -0.146668588278687
7 "WALKING_DOWNSTAIRS" -0.144454981851541
7 "WALKING_UPSTAIRS" -0.314686913652232
8 "LAYING" -0.552484248654061
8 "SITTING" -0.562291009500816
8 "STANDING" -0.563688790110945
8 "WALKING" -0.139632636849052
8 "WALKING_DOWNSTAIRS" -0.00350851770489596
8 "WALKING_UPSTAIRS" -0.136198336708412
9 "LAYING" -0.576140579950362
9 "SITTING" -0.569861318694921
9 "STANDING" -0.571659651579692
9 "WALKING" -0.238112758193513
9 "WALKING_DOWNSTAIRS" -0.152590901085107
9 "WALKING_UPSTAIRS" -0.314250806441595
10 "LAYING" -0.544768735912951
10 "SITTING" -0.554171495523231
10 "STANDING" -0.562086082867722
10 "WALKING" -0.171243280285558
10 "WALKING_DOWNSTAIRS" -0.0928998408636873
10 "WALKING_UPSTAIRS" -0.196800269811456
11 "LAYING" -0.552569731626979
11 "SITTING" -0.560163362015382
11 "STANDING" -0.56323444843933
11 "WALKING" -0.316639709932807
11 "WALKING_DOWNSTAIRS" -0.202536620199863
11 "WALKING_UPSTAIRS" -0.339404928990101
12 "LAYING" -0.55555830797007
12 "SITTING" -0.568409496203126
12 "STANDING" -0.561939569345044
12 "WALKING" -0.204051847724816
12 "WALKING_DOWNSTAIRS" -0.14589225788813
12 "WALKING_UPSTAIRS" -0.303651031097862
13 "LAYING" -0.559679898689428
13 "SITTING" -0.559210963996843
13 "STANDING" -0.570718206796153
13 "WALKING" -0.16216469469009
13 "WALKING_DOWNSTAIRS" -0.146175018785925
13 "WALKING_UPSTAIRS" -0.291385465487387
14 "LAYING" -0.566539566359065
14 "SITTING" -0.580054672538001
14 "STANDING" -0.581838713241965
14 "WALKING" -0.245794411468521
14 "WALKING_DOWNSTAIRS" -0.0153892333474884
14 "WALKING_UPSTAIRS" -0.130098851015241
15 "LAYING" -0.563026170147747
15 "SITTING" -0.559975164678138
15 "STANDING" -0.567406090194044
15 "WALKING" -0.262647701708031
15 "WALKING_DOWNSTAIRS" -0.113093071016658
15 "WALKING_UPSTAIRS" -0.269934095846126
16 "LAYING" -0.575637769264657
16 "SITTING" -0.555390572962235
16 "STANDING" -0.569309593368161
16 "WALKING" -0.316791848759343
16 "WALKING_DOWNSTAIRS" -0.1925331420983
16 "WALKING_UPSTAIRS" -0.337383685146858
17 "LAYING" -0.557252448721013
17 "SITTING" -0.560390221539023
17 "STANDING" -0.567379253467323
17 "WALKING" -0.256506855961365
17 "WALKING_DOWNSTAIRS" -0.219408130633721
17 "WALKING_UPSTAIRS" -0.272646244671
18 "LAYING" -0.55189398443311
18 "SITTING" -0.559423852878406
18 "STANDING" -0.581146224303779
18 "WALKING" -0.318915435900928
18 "WALKING_DOWNSTAIRS" -0.325757187345448
18 "WALKING_UPSTAIRS" -0.379073875202538
19 "LAYING" -0.557169751879306
19 "SITTING" -0.576489458188927
19 "STANDING" -0.575621987957224
19 "WALKING" -0.0592270921576182
19 "WALKING_DOWNSTAIRS" 0.120800080100552
19 "WALKING_UPSTAIRS" -0.161083876745375
20 "LAYING" -0.558401909303655
20 "SITTING" -0.571111336871542
20 "STANDING" -0.568189557385581
20 "WALKING" -0.0822855188992002
20 "WALKING_DOWNSTAIRS" -0.0685970029487568
20 "WALKING_UPSTAIRS" -0.192275042698118
21 "LAYING" -0.570061754826755
21 "SITTING" -0.560043845535955
21 "STANDING" -0.571509980868209
21 "WALKING" -0.185664623932161
21 "WALKING_DOWNSTAIRS" -0.121272251258866
21 "WALKING_UPSTAIRS" -0.250418978688761
22 "LAYING" -0.552865153039318
22 "SITTING" -0.568426797682488
22 "STANDING" -0.583579226742791
22 "WALKING" -0.117219211122921
22 "WALKING_DOWNSTAIRS" -0.125317101550046
22 "WALKING_UPSTAIRS" -0.160601619327738
23 "LAYING" -0.554097661562837
23 "SITTING" -0.552769092949315
23 "STANDING" -0.57283032665109
23 "WALKING" -0.0787731101442669
23 "WALKING_DOWNSTAIRS" -0.00632675657535315
23 "WALKING_UPSTAIRS" -0.22627666212547
24 "LAYING" -0.554251426367397
24 "SITTING" -0.57083115222427
24 "STANDING" -0.572503694148874
24 "WALKING" -0.292610612713097
24 "WALKING_DOWNSTAIRS" -0.2054786746024
24 "WALKING_UPSTAIRS" -0.316125439887194
25 "LAYING" -0.524717112914799
25 "SITTING" -0.565443745219465
25 "STANDING" -0.571357935253078
25 "WALKING" -0.36087237543868
25 "WALKING_DOWNSTAIRS" -0.317881021166441
25 "WALKING_UPSTAIRS" -0.399653009063569
26 "LAYING" -0.550112545775807
26 "SITTING" -0.564891478615595
26 "STANDING" -0.570932291175317
26 "WALKING" -0.257996687371654
26 "WALKING_DOWNSTAIRS" -0.166593783133544
26 "WALKING_UPSTAIRS" -0.286932426467427
27 "LAYING" -0.550491894942597
27 "SITTING" -0.564458128520817
27 "STANDING" -0.5678191616517
27 "WALKING" -0.249776909612591
27 "WALKING_DOWNSTAIRS" -0.150039730086021
27 "WALKING_UPSTAIRS" -0.315331728720999
28 "LAYING" -0.571611706715866
28 "SITTING" -0.573045498434115
28 "STANDING" -0.573499385856676
28 "WALKING" -0.265610418056733
28 "WALKING_DOWNSTAIRS" -0.12076166755164
28 "WALKING_UPSTAIRS" -0.269987917872957
29 "LAYING" -0.543617758596031
29 "SITTING" -0.561197203492126
29 "STANDING" -0.568651171953887
29 "WALKING" -0.208298430368722
29 "WALKING_DOWNSTAIRS" -0.161713430631038
29 "WALKING_UPSTAIRS" -0.233926898784217
30 "LAYING" -0.565878284133239
30 "SITTING" -0.570825177868484
30 "STANDING" -0.579080426690232
30 "WALKING" -0.233556157269519
30 "WALKING_DOWNSTAIRS" -0.207222290221097
30 "WALKING_UPSTAIRS" -0.327990438010303
